,Music1,Music2,Distance
231,All About That Bass,Shape of You,27.555932838213867
232,All About That Bass,Silent Night,26.1327877177991
233,All About That Bass,Somebody That I Used to Know,26.695871204056672
234,All About That Bass,Something Just Like This,35.1673456754567
235,All About That Bass,Sugar,59.28093740463205
236,All About That Bass,Sukiyaki,13.825470240615417
237,All About That Bass,Sweet Mother,119.44032780513801
238,All About That Bass,Tennessee Waltz,47.05805891685045
239,All About That Bass,The Last Farewell,87.22296132047354
240,All About That Bass,Thinking Out Loud,30.88934508853573
241,All About That Bass,Thrift Shop,14.316121397404826
242,All About That Bass,Un-Break My Heart,22.274440152684505
243,All About That Bass,Uptown Funk,19.75454404158012
244,All About That Bass,Wabash Cannonball,30.72415238066097
245,All About That Bass,Waka Waka (This Time for Africa),17.78751386259967
246,All About That Bass,We Are the World,56.00995200849207
247,All About That Bass,Y.M.C.A.,214.39450286737298
248,All About That Bass,"Yes Sir, I Can Boogie",41.53833079458726
249,All About That Bass,You're the One That I Want,30.300660922752943
250,All I Want for Christmas Is You,Bad Romance,32.64574855785586
251,All I Want for Christmas Is You,Bei Mir Bist Du Schön,222.76158394885735
252,All I Want for Christmas Is You,Blurred Lines,41.71031505009063
253,All I Want for Christmas Is You,Call Me Maybe,34.77149052615173
254,All I Want for Christmas Is You,Chirpy Chirpy Cheep Cheep,59.68553289860022
255,All I Want for Christmas Is You,Dance Monkey,42.68874379992542
256,All I Want for Christmas Is You,Despacito,41.45169230208867
257,All I Want for Christmas Is You,Earth Angel,51.046501442001826
258,All I Want for Christmas Is You,Fernando,69.7705428161409
259,All I Want for Christmas Is You,Gangnam Style,53.73325512938759
260,All I Want for Christmas Is You,Girls Like You,67.01350284152532
261,All I Want for Christmas Is You,Grenade,37.47556853536293
262,All I Want for Christmas Is You,Havana,57.10576553895927
263,All I Want for Christmas Is You,Hips Don't Lie,37.43274726575873
264,All I Want for Christmas Is You,I Took a Pill in Ibiza,34.77272693995351
265,All I Want for Christmas Is You,I Want to Hold Your Hand,35.00798697749225
266,All I Want for Christmas Is You,I Will Always Love You,46.71150558167586
267,All I Want for Christmas Is You,I'm a Believer,25.09147211217354
268,All I Want for Christmas Is You,If I Didn't Care,84.40737863209
269,All I Want for Christmas Is You,In the Summertime,77.34589579592242
270,All I Want for Christmas Is You,Kung Fu Fighting,36.27777065517129
271,All I Want for Christmas Is You,Lean On,57.66874590976734
272,All I Want for Christmas Is You,Let It Go,60.68921976441125
273,All I Want for Christmas Is You,Love Me like You Do,38.9326979047327
274,All I Want for Christmas Is You,Love on the Brain,63.52171164565517
275,All I Want for Christmas Is You,Love Yourself,55.69453334503441
