,Article_1,Article_2,Similarity
299,Bad Romance,Dance Monkey,0.8517805194052721
300,Bad Romance,Despacito,0.9257972624990716
301,Bad Romance,Earth Angel,0.9139449106225398
302,Bad Romance,Gangnam Style,0.9170062788970174
303,Bad Romance,Girls Like You,0.9273047509561579
304,Bad Romance,Grenade,0.7445312954802211
305,Bad Romance,Havana,0.7987525396645087
306,Bad Romance,Hips Don't Lie,0.8920699446820453
307,Bad Romance,I Took a Pill in Ibiza,0.8961824437743693
308,Bad Romance,I Want to Hold Your Hand,0.8433566566713357
309,Bad Romance,I Will Always Love You,0.881953905064276
310,Bad Romance,I'm a Believer,0.8982919479748824
311,Bad Romance,If I Didn't Care,0.7818424980932775
312,Bad Romance,In the Summertime,0.8507994741556594
313,Bad Romance,Kung Fu Fighting,0.888745511249611
314,Bad Romance,Lean On,0.8925976771105469
315,Bad Romance,Let It Go,0.8880050408187052
316,Bad Romance,Love Me like You Do,0.8924274111452432
317,Bad Romance,Love on the Brain,0.9208682157505701
318,Bad Romance,Love Yourself,0.9234181279827868
319,Bad Romance,Macarena,0.8763926499285433
320,Bad Romance,Moves Like Jagger,0.9448876524527109
321,Bad Romance,Mundian To Bach Ke,0.8535267190921474
322,Bad Romance,My Heart Will Go On,0.8956034557638116
323,Bad Romance,My Sharona,0.9030110675485931
324,Bad Romance,My Sweet Lord,0.9022777121255721
325,Bad Romance,Needed Me,0.9062331894624595
326,Bad Romance,Old Town Road,0.9040528073149984
327,Bad Romance,One Dance,0.9158402091226969
328,Bad Romance,Right Round,0.9173729987880191
329,Bad Romance,Rock Around the Clock,0.9101633149129801
330,Bad Romance,Rock Your Baby,0.8645451772098429
331,Bad Romance,Rolling in the Deep,0.9417323662796274
332,Bad Romance,Rudolph the Red-Nosed Reindeer,0.7440343327103695
333,Bad Romance,See You Again,0.9047270438121775
334,Bad Romance,Shape of You,0.9255464722761931
335,Bad Romance,Silent Night,0.8809468158168948
336,Bad Romance,Somebody That I Used to Know,0.9185798512025557
337,Bad Romance,Something Just Like This,0.908268952478269
338,Bad Romance,Sweet Mother,0.9032279231685783
339,Bad Romance,Tennessee Waltz,0.8761043689955522
